Name,Age,Gender,Address,Loan Access,CRM/ATM Access,Mobile Banking Access,Profession,Disability
Yewbdar Worku,36,Female,"Kebele 16, Woreda 1, Mekelle",Michu,Yes,Yes,Teacher,Yes
Getahun Eshetu,53,Male,"Kebele 3, Woreda 5, Debre Markos",Michu,Yes,No,Employed,No
Sara Solomon,39,Female,"Kebele 20, Woreda 7, Asosa",Kiya,Yes,No,Employed,No
Legesse Mitiku,61,Male,"Kebele 27, Woreda 5, Dilla",Conventional Loan,Yes,No,Student,No
Rahel Zewdu,34,Female,"Kebele 1, Woreda 2, Sodo",Michu,No,Yes,Health Worker,Yes
Melaku Gebeyehu,22,Male,"Kebele 14, Woreda 7, Harar",Michu,Yes,Yes,Farmer,Yes
Kidist Tamirat,43,Male,"Kebele 9, Woreda 3, Dire Dawa",Michu,No,No,Farmer,No
Feven Chalachew,44,Female,"Kebele 16, Woreda 5, Arba Minch",Conventional Loan,No,No,Farmer,Yes
Girma Endale,61,Male,"Kebele 27, Woreda 2, Arba Minch",Michu,Yes,Yes,Merchant,Yes
Desalegn Mitiku,70,Male,"Kebele 14, Woreda 8, Sodo",Michu,Yes,No,Teacher,Yes
Helina Biruk,29,Female,"Kebele 29, Woreda 8, Adama",Michu,No,No,Farmer,No
Abebe Kebede,39,Male,"Kebele 13, Woreda 3, Hawassa",Conventional Loan,Yes,No,Employed,Yes
Kidane Wube,68,Male,"Kebele 30, Woreda 7, Hawassa",Michu,No,No,Merchant,No
Wengel Habtamu,51,Female,"Kebele 19, Woreda 8, Dilla",Conventional Loan,Yes,No,Health Worker,No
Merid Nigussie,41,Male,"Kebele 12, Woreda 6, Harar",Conventional Loan,Yes,Yes,Teacher,Yes
Mahlet Tsegaye,29,Female,"Kebele 23, Woreda 9, Debre Markos",Kiya,Yes,Yes,Health Worker,Yes
Tigist Habtemariam,47,Female,"Kebele 16, Woreda 1, Jimma",Michu,Yes,No,Farmer,No
Sifan Bereket,57,Female,"Kebele 14, Woreda 9, Debre Markos",Kiya,No,No,Student,Yes
Desalegn Teshome,39,Male,"Kebele 23, Woreda 5, Jimma",Michu,Yes,No,Employed,Yes
Fozia Mitiku,31,Female,"Kebele 13, Woreda 8, Dessie",Conventional Loan,No,No,Teacher,Yes
Gebeyehu Mengistu,36,Male,"Kebele 7, Woreda 8, Hawassa",Michu,No,No,Teacher,No
Samuel Negusu,64,Male,"Kebele 6, Woreda 4, Jimma",Michu,Yes,No,Teacher,Yes
Fozia Teshome,50,Female,"Kebele 8, Woreda 6, Nekemte",Kiya,Yes,Yes,Employed,No
Bereket Dagnachew,43,Male,"Kebele 9, Woreda 10, Bahir Dar",Michu,No,No,Merchant,No
Yodit Kidane,34,Female,"Kebele 4, Woreda 2, Hawassa",Conventional Loan,No,Yes,Health Worker,No
Alem Hussen,36,Female,"Kebele 3, Woreda 3, Mekelle",Kiya,Yes,No,Student,Yes
Tariku Mitiku,55,Male,"Kebele 11, Woreda 10, Mekelle",Conventional Loan,Yes,Yes,Student,No
Wolde Mekonnen,37,Male,"Kebele 28, Woreda 10, Dessie",Conventional Loan,No,No,Health Worker,No
Getnet Solomon,30,Male,"Kebele 14, Woreda 9, Dire Dawa",Michu,Yes,No,Employed,No
Fikirte Tariku,43,Female,"Kebele 17, Woreda 3, Sodo",Michu,Yes,No,Student,No
Sintayehu Nigussie,52,Male,"Kebele 5, Woreda 9, Dilla",Conventional Loan,No,No,Employed,No
Selam Zeleke,44,Female,"Kebele 13, Woreda 6, Bahir Dar",Michu,No,No,Merchant,No
Getnet Yared,65,Male,"Kebele 11, Woreda 5, Arba Minch",Conventional Loan,No,No,Employed,Yes
Wengel Tadese,45,Female,"Kebele 26, Woreda 4, Bahir Dar",Conventional Loan,No,No,Teacher,No
Mahlet Yonas,29,Female,"Kebele 8, Woreda 2, Nekemte",Conventional Loan,No,Yes,Employed,No
Naomi Girma,65,Female,"Kebele 16, Woreda 8, Bahir Dar",Conventional Loan,No,No,Merchant,Yes
Abraham Adamu,25,Male,"Kebele 15, Woreda 10, Dessie",Conventional Loan,No,Yes,Employed,No
Rahel Legesse,39,Female,"Kebele 2, Woreda 9, Hosaena",Kiya,No,No,Teacher,Yes
Zewditu Tamrat,27,Female,"Kebele 21, Woreda 3, Jimma",Conventional Loan,Yes,Yes,Teacher,No
Meaza Bereket,66,Female,"Kebele 12, Woreda 2, Asosa",Conventional Loan,Yes,Yes,Merchant,Yes
Rediet Shiferaw,22,Female,"Kebele 21, Woreda 3, Arba Minch",Kiya,Yes,No,Employed,No
Yared Binyam,61,Male,"Kebele 17, Woreda 3, Adama",Michu,Yes,Yes,Teacher,Yes
Tebarek Kebede,18,Female,"Kebele 28, Woreda 10, Debre Berhan",Kiya,Yes,Yes,Health Worker,No
Sewit Melaku,47,Female,"Kebele 8, Woreda 4, Adama",Michu,Yes,Yes,Health Worker,Yes
Gizachew Negusu,55,Male,"Kebele 1, Woreda 2, Hawassa",Conventional Loan,No,Yes,Merchant,Yes
Tamrat Geremew,37,Male,"Kebele 30, Woreda 9, Asosa",Conventional Loan,No,Yes,Teacher,Yes
Zebiba Habtamu,54,Female,"Kebele 17, Woreda 6, Jimma",Conventional Loan,Yes,No,Farmer,No
Selam Worku,55,Female,"Kebele 17, Woreda 5, Dire Dawa",Conventional Loan,Yes,Yes,Employed,No
Getnet Hussen,60,Male,"Kebele 13, Woreda 1, Dilla",Conventional Loan,No,No,Teacher,Yes
Teshome Habtamu,34,Male,"Kebele 29, Woreda 1, Debre Markos",Conventional Loan,No,Yes,Student,Yes
Tamrat Mekonnen,58,Male,"Kebele 21, Woreda 1, Sodo",Michu,No,No,Merchant,No
Mamo Yared,36,Male,"Kebele 19, Woreda 7, Hosaena",Conventional Loan,No,Yes,Farmer,Yes
Habtamu Merid,47,Male,"Kebele 13, Woreda 3, Arba Minch",Michu,Yes,No,Health Worker,Yes
Getnet Tariku,39,Male,"Kebele 12, Woreda 9, Dessie",Conventional Loan,Yes,No,Student,No
Dagmawit Misgana,31,Female,"Kebele 2, Woreda 9, Debre Berhan",Kiya,Yes,Yes,Health Worker,No
Rahel Wolde,51,Female,"Kebele 8, Woreda 6, Adama",Kiya,No,No,Health Worker,No
Eden Getnet,64,Female,"Kebele 13, Woreda 6, Debre Markos",Michu,No,Yes,Merchant,No
Hirut Mitiku,32,Female,"Kebele 3, Woreda 9, Arba Minch",Conventional Loan,Yes,No,Employed,No
Dawit Kibrom,54,Male,"Kebele 3, Woreda 1, Arba Minch",Michu,No,Yes,Farmer,No
Ruth Habtemariam,49,Female,"Kebele 4, Woreda 4, Mekelle",Kiya,No,No,Merchant,Yes
Girma Berhanu,67,Male,"Kebele 29, Woreda 9, Nekemte",Conventional Loan,No,No,Health Worker,Yes
Wubit Tesfu,46,Female,"Kebele 4, Woreda 4, Jijiga",Conventional Loan,No,Yes,Student,Yes
Haile Wube,52,Male,"Kebele 4, Woreda 6, Gambela",Conventional Loan,Yes,No,Merchant,Yes
Gelila Bekele,68,Female,"Kebele 5, Woreda 6, Harar",Kiya,Yes,Yes,Student,No
Helina Kibrom,53,Female,"Kebele 21, Woreda 7, Hosaena",Michu,Yes,Yes,Teacher,Yes
Selam Desalegn,40,Female,"Kebele 6, Woreda 2, Sodo",Kiya,Yes,Yes,Employed,Yes
Hewan Muluken,62,Female,"Kebele 24, Woreda 8, Shashemene",Conventional Loan,No,No,Health Worker,Yes
Mihret Desalegn,56,Female,"Kebele 26, Woreda 10, Sodo",Conventional Loan,No,Yes,Student,Yes
Mulugeta Hailemariam,67,Male,"Kebele 22, Woreda 10, Dilla",Michu,Yes,Yes,Teacher,No
Eyerusalem Bekele,66,Female,"Kebele 14, Woreda 8, Harar",Michu,Yes,Yes,Health Worker,Yes
Tena Mengistu,61,Female,"Kebele 24, Woreda 7, Bahir Dar",Conventional Loan,No,Yes,Teacher,No
Yared Habtemariam,63,Male,"Kebele 15, Woreda 7, Hawassa",Conventional Loan,No,Yes,Student,Yes
Tesfaye Ermias,51,Male,"Kebele 5, Woreda 2, Dire Dawa",Michu,No,Yes,Merchant,No
Haimanot Wondimu,29,Female,"Kebele 2, Woreda 10, Hosaena",Conventional Loan,No,No,Student,No
Tamirat Redae,33,Male,"Kebele 6, Woreda 5, Jimma",Michu,Yes,Yes,Farmer,No
Yemane Negusu,30,Male,"Kebele 26, Woreda 5, Bahir Dar",Michu,Yes,Yes,Student,Yes
Rediet Habtemariam,61,Female,"Kebele 2, Woreda 10, Dilla",Conventional Loan,Yes,Yes,Health Worker,Yes
Fekadu Abraham,61,Male,"Kebele 13, Woreda 6, Dessie",Conventional Loan,No,No,Teacher,No
Yodit Zewdu,21,Female,"Kebele 18, Woreda 4, Hawassa",Conventional Loan,No,Yes,Merchant,Yes
Leul Mamo,67,Male,"Kebele 8, Woreda 4, Nekemte",Conventional Loan,Yes,No,Employed,Yes
Bereket Mengistu,42,Male,"Kebele 7, Woreda 7, Debre Markos",Conventional Loan,Yes,Yes,Teacher,Yes
Tsegaye Mitiku,34,Male,"Kebele 8, Woreda 5, Bahir Dar",Michu,No,No,Employed,No
Mamo Zeleke,26,Male,"Kebele 5, Woreda 6, Hosaena",Michu,Yes,Yes,Teacher,No
Zufan Yohannes,44,Female,"Kebele 10, Woreda 5, Hawassa",Kiya,No,No,Merchant,Yes
Solomon Mulugeta,28,Male,"Kebele 22, Woreda 9, Jijiga",Conventional Loan,No,No,Farmer,Yes
Worku Bekele,42,Male,"Kebele 4, Woreda 3, Dessie",Michu,Yes,No,Merchant,No
Sewit Melaku,38,Female,"Kebele 14, Woreda 9, Harar",Kiya,Yes,No,Health Worker,No
Demelash Demelash,57,Male,"Kebele 2, Woreda 9, Mekelle",Michu,No,Yes,Merchant,Yes
Rediet Chalachew,68,Female,"Kebele 26, Woreda 7, Gondar",Kiya,Yes,Yes,Employed,Yes
Meseret Andargachew,59,Female,"Kebele 14, Woreda 1, Arba Minch",Kiya,Yes,No,Farmer,No
Sintayehu Eyob,21,Male,"Kebele 8, Woreda 10, Jimma",Conventional Loan,No,Yes,Teacher,Yes
Selamawit Nega,41,Male,"Kebele 10, Woreda 3, Debre Berhan",Conventional Loan,No,No,Farmer,Yes
Abebech Tesfaye,49,Female,"Kebele 10, Woreda 3, Nekemte",Conventional Loan,Yes,No,Health Worker,Yes
Samuel Hailu,69,Male,"Kebele 27, Woreda 4, Bahir Dar",Conventional Loan,Yes,No,Merchant,No
Habtamu Nega,63,Male,"Kebele 30, Woreda 6, Hosaena",Michu,Yes,No,Student,No
Yohannes Haile,56,Male,"Kebele 20, Woreda 1, Gambela",Conventional Loan,Yes,No,Employed,No
Ruth Berhanu,54,Female,"Kebele 14, Woreda 8, Dire Dawa",Michu,No,Yes,Employed,No
Sossina Eshetu,70,Female,"Kebele 30, Woreda 4, Dire Dawa",Michu,Yes,Yes,Employed,No
Hiwot Ermias,40,Female,"Kebele 2, Woreda 4, Bahir Dar",Conventional Loan,No,Yes,Employed,Yes
Tamrat Girma,18,Male,"Kebele 16, Woreda 3, Bahir Dar",Michu,Yes,Yes,Farmer,No
Sewit Melaku,24,Female,"Kebele 13, Woreda 4, Dire Dawa",Conventional Loan,Yes,No,Teacher,Yes
Kidist Geremew,41,Female,"Kebele 18, Woreda 2, Sodo",Conventional Loan,Yes,No,Employed,No
Meaza Kidist,38,Female,"Kebele 25, Woreda 6, Mekelle",Michu,Yes,No,Student,No
Birtukan Legesse,39,Female,"Kebele 15, Woreda 9, Hawassa",Michu,No,Yes,Teacher,Yes
Ayenalem Tsegaye,22,Female,"Kebele 12, Woreda 1, Hawassa",Kiya,No,No,Health Worker,Yes
Zewdu Mitiku,30,Male,"Kebele 28, Woreda 6, Dessie",Conventional Loan,No,Yes,Farmer,Yes
Kassahun Sintayehu,35,Male,"Kebele 9, Woreda 5, Jijiga",Conventional Loan,No,No,Teacher,No
Gennet Solomon,21,Female,"Kebele 28, Woreda 5, Bahir Dar",Conventional Loan,Yes,Yes,Student,Yes
Asnake Berhanu,28,Male,"Kebele 11, Woreda 7, Harar",Conventional Loan,No,No,Teacher,Yes
Fikirte Kebede,42,Female,"Kebele 28, Woreda 1, Dilla",Michu,No,No,Teacher,No
Demelash Yonas,53,Male,"Kebele 5, Woreda 1, Gambela",Michu,No,No,Merchant,No
Shiferaw Nigussie,53,Male,"Kebele 2, Woreda 9, Dire Dawa",Conventional Loan,Yes,Yes,Farmer,No
Samuel Solomon,24,Male,"Kebele 8, Woreda 8, Gondar",Conventional Loan,Yes,Yes,Employed,Yes
Mengistu Mekuria,59,Male,"Kebele 21, Woreda 3, Jijiga",Conventional Loan,Yes,Yes,Teacher,No
Atikilt Zewdu,50,Female,"Kebele 11, Woreda 1, Jimma",Kiya,Yes,No,Teacher,No
Habtamu Mesfin,60,Male,"Kebele 1, Woreda 1, Gondar",Conventional Loan,No,Yes,Health Worker,No
Samuel Demelash,35,Male,"Kebele 27, Woreda 7, Hosaena",Michu,Yes,Yes,Health Worker,Yes
Henok Yonas,31,Male,"Kebele 8, Woreda 7, Shashemene",Conventional Loan,No,Yes,Teacher,Yes
Eshetu Mengistu,42,Male,"Kebele 11, Woreda 1, Gondar",Michu,Yes,No,Teacher,Yes
Tamirat Abraham,28,Male,"Kebele 10, Woreda 8, Harar",Michu,Yes,No,Student,No
Eshetu Mekuria,67,Male,"Kebele 27, Woreda 8, Gondar",Michu,No,Yes,Farmer,Yes
Tigist Sisay,22,Female,"Kebele 22, Woreda 8, Dire Dawa",Michu,Yes,Yes,Health Worker,No
Ermias Zeleke,37,Male,"Kebele 11, Woreda 8, Mekelle",Conventional Loan,No,Yes,Teacher,No
Rediet Nega,25,Female,"Kebele 13, Woreda 9, Shashemene",Michu,Yes,Yes,Health Worker,No
Rahel Nigussie,25,Female,"Kebele 20, Woreda 4, Hosaena",Conventional Loan,No,No,Merchant,No
Zewditu Mekuria,50,Female,"Kebele 15, Woreda 10, Mekelle",Kiya,No,Yes,Farmer,No
Selam Biruk,65,Female,"Kebele 26, Woreda 10, Nekemte",Conventional Loan,No,Yes,Employed,No
Chalachew Desta,48,Male,"Kebele 22, Woreda 10, Gambela",Michu,Yes,Yes,Health Worker,No
Melaku Samuel,49,Male,"Kebele 4, Woreda 5, Gondar",Michu,No,Yes,Employed,No
Sifan Moges,63,Female,"Kebele 17, Woreda 10, Dilla",Michu,No,No,Health Worker,Yes
Kebede Eshetu,28,Male,"Kebele 2, Woreda 2, Dire Dawa",Conventional Loan,No,No,Employed,Yes
Abebe Geremew,55,Male,"Kebele 4, Woreda 10, Nekemte",Michu,No,Yes,Employed,No
Hewan Mekonnen,53,Female,"Kebele 26, Woreda 1, Sodo",Kiya,Yes,Yes,Farmer,No
Tsion Kidane,51,Female,"Kebele 2, Woreda 8, Jimma",Michu,No,Yes,Teacher,Yes
Abraham Getachew,48,Male,"Kebele 6, Woreda 6, Harar",Michu,Yes,No,Health Worker,No
Hayat Chalachew,70,Female,"Kebele 3, Woreda 7, Mekelle",Michu,Yes,Yes,Health Worker,Yes
Genet Yohannes,37,Female,"Kebele 22, Woreda 9, Debre Berhan",Kiya,No,Yes,Student,Yes
Mihret Solomon,20,Female,"Kebele 12, Woreda 2, Nekemte",Conventional Loan,Yes,No,Health Worker,No
Yewbdar Selamawit,20,Female,"Kebele 27, Woreda 4, Sodo",Kiya,No,Yes,Merchant,Yes
Kassaye Gizachew,27,Male,"Kebele 28, Woreda 2, Gondar",Conventional Loan,No,Yes,Health Worker,Yes
Yodit Solomon,36,Female,"Kebele 11, Woreda 3, Gambela",Kiya,Yes,Yes,Employed,No
Ayisha Worku,64,Female,"Kebele 7, Woreda 7, Harar",Conventional Loan,Yes,No,Employed,No
Tesfu Wondimu,58,Male,"Kebele 29, Woreda 4, Jimma",Michu,No,Yes,Health Worker,Yes
Zeleke Zegeye,30,Male,"Kebele 15, Woreda 4, Hawassa",Michu,No,Yes,Student,No
Yesuf Eshetu,43,Male,"Kebele 28, Woreda 3, Gambela",Michu,No,No,Merchant,No
Dinknesh Yonas,23,Female,"Kebele 30, Woreda 6, Hosaena",Kiya,Yes,Yes,Employed,Yes
Mitiku Solomon,28,Male,"Kebele 21, Woreda 4, Nekemte",Michu,No,No,Teacher,Yes
Eden Yonas,68,Female,"Kebele 3, Woreda 9, Debre Markos",Conventional Loan,Yes,No,Health Worker,No
Tigist Eyob,66,Female,"Kebele 4, Woreda 5, Debre Berhan",Conventional Loan,Yes,Yes,Student,Yes
Tsion Kidane,35,Female,"Kebele 7, Woreda 7, Harar",Michu,No,Yes,Merchant,No
Ayantu Chalachew,28,Female,"Kebele 20, Woreda 1, Dessie",Kiya,Yes,Yes,Teacher,Yes
Yemane Nebiyu,55,Male,"Kebele 29, Woreda 10, Jimma",Michu,Yes,Yes,Employed,Yes
Selamawit Mengistu,65,Male,"Kebele 25, Woreda 3, Adama",Conventional Loan,No,Yes,Merchant,No
Hiwot Melaku,32,Female,"Kebele 28, Woreda 10, Mekelle",Conventional Loan,Yes,Yes,Student,No
Tigist Andargachew,48,Female,"Kebele 26, Woreda 1, Nekemte",Conventional Loan,Yes,Yes,Teacher,No
Wolde Tilahun,33,Male,"Kebele 5, Woreda 9, Gondar",Michu,Yes,No,Teacher,Yes
Bisrat Wolde,52,Female,"Kebele 18, Woreda 4, Debre Berhan",Conventional Loan,No,No,Student,No
Daniel Eshetu,27,Male,"Kebele 27, Woreda 10, Jijiga",Michu,Yes,No,Merchant,No
Feven Hussen,31,Female,"Kebele 3, Woreda 9, Dessie",Conventional Loan,No,No,Employed,No
Abraham Zerihun,43,Male,"Kebele 10, Woreda 4, Harar",Michu,No,Yes,Farmer,Yes
Sossina Redae,29,Female,"Kebele 5, Woreda 3, Debre Markos",Kiya,Yes,Yes,Employed,Yes
Mekuria Selamawit,22,Male,"Kebele 23, Woreda 6, Dilla",Conventional Loan,Yes,Yes,Employed,Yes
Demelash Gizachew,29,Male,"Kebele 5, Woreda 10, Debre Berhan",Michu,No,Yes,Merchant,No
Tebarek Mitiku,36,Female,"Kebele 26, Woreda 1, Hawassa",Michu,Yes,Yes,Employed,No
Dawit Demeke,41,Female,"Kebele 15, Woreda 10, Dessie",Conventional Loan,Yes,Yes,Employed,No
Redae Binyam,58,Male,"Kebele 28, Woreda 7, Jijiga",Conventional Loan,Yes,No,Teacher,No
Gelila Kibrom,65,Female,"Kebele 22, Woreda 3, Mekelle",Conventional Loan,No,Yes,Health Worker,No
Zemzem Gebru,57,Female,"Kebele 13, Woreda 8, Hawassa",Kiya,Yes,Yes,Student,Yes
Kidane Moges,36,Male,"Kebele 8, Woreda 9, Dilla",Michu,Yes,Yes,Student,No
Tesfu Gebeyehu,27,Male,"Kebele 11, Woreda 9, Dire Dawa",Conventional Loan,Yes,Yes,Employed,Yes
Habtamu Mesfin,58,Male,"Kebele 5, Woreda 6, Debre Markos",Michu,Yes,No,Employed,Yes
Mengistu Getahun,52,Male,"Kebele 18, Woreda 6, Dilla",Michu,No,No,Student,Yes
Hiwot Asnake,59,Female,"Kebele 14, Woreda 8, Debre Berhan",Michu,No,No,Employed,Yes
Magi Geremew,37,Female,"Kebele 9, Woreda 3, Hosaena",Conventional Loan,No,Yes,Merchant,No
Mulu Mitiku,41,Female,"Kebele 12, Woreda 6, Debre Berhan",Michu,Yes,No,Merchant,No
Habtamu Amare,58,Male,"Kebele 4, Woreda 2, Shashemene",Conventional Loan,No,Yes,Student,Yes
Hailu Mitiku,52,Male,"Kebele 2, Woreda 9, Dilla",Michu,Yes,Yes,Merchant,No
Yeshi Habtemariam,18,Female,"Kebele 17, Woreda 8, Dire Dawa",Michu,No,Yes,Student,Yes
Zemzem Kassahun,28,Female,"Kebele 23, Woreda 3, Jimma",Conventional Loan,Yes,No,Farmer,No
Rediet Nega,35,Female,"Kebele 30, Woreda 9, Dessie",Kiya,Yes,Yes,Employed,No
Teshome Yemane,38,Male,"Kebele 3, Woreda 9, Adama",Michu,No,Yes,Student,Yes
Dawit Fekadu,70,Male,"Kebele 26, Woreda 2, Hawassa",Conventional Loan,No,Yes,Health Worker,Yes
Hailu Melaku,29,Male,"Kebele 4, Woreda 2, Bahir Dar",Conventional Loan,No,No,Merchant,No
Hailemariam Negusu,35,Male,"Kebele 3, Woreda 1, Debre Markos",Conventional Loan,Yes,No,Employed,Yes
Hailemariam Legesse,56,Male,"Kebele 23, Woreda 2, Arba Minch",Michu,Yes,Yes,Merchant,Yes
Yewbdar Kassaye,35,Female,"Kebele 8, Woreda 9, Dire Dawa",Michu,Yes,No,Student,No
Tena Legesse,60,Female,"Kebele 15, Woreda 8, Dire Dawa",Kiya,Yes,Yes,Merchant,No
Misrak Yilma,50,Female,"Kebele 3, Woreda 5, Mekelle",Conventional Loan,Yes,Yes,Teacher,No
Nigussie Andargachew,46,Male,"Kebele 16, Woreda 7, Harar",Michu,No,Yes,Merchant,No
Feven Kebede,51,Female,"Kebele 2, Woreda 10, Arba Minch",Michu,Yes,No,Employed,No
Sossina Tariku,33,Female,"Kebele 29, Woreda 4, Jimma",Conventional Loan,No,Yes,Health Worker,No
Hawi Tariku,27,Female,"Kebele 24, Woreda 7, Adama",Kiya,No,No,Student,No
Endale Bereket,62,Male,"Kebele 27, Woreda 7, Hosaena",Conventional Loan,Yes,No,Student,Yes
Yonas Kidane,44,Male,"Kebele 14, Woreda 8, Jimma",Michu,No,Yes,Health Worker,No
Legesse Mitiku,64,Male,"Kebele 28, Woreda 2, Dilla",Michu,Yes,Yes,Student,No
Lulit Tesfu,32,Female,"Kebele 1, Woreda 3, Bahir Dar",Conventional Loan,Yes,No,Employed,No
Asnake Eshetu,46,Male,"Kebele 26, Woreda 2, Asosa",Conventional Loan,Yes,Yes,Merchant,No
Kassaye Girma,56,Male,"Kebele 23, Woreda 2, Harar",Michu,Yes,No,Health Worker,Yes
Legesse Nigussie,52,Male,"Kebele 25, Woreda 9, Shashemene",Michu,No,Yes,Teacher,No
Muluken Amare,62,Male,"Kebele 5, Woreda 5, Jimma",Michu,No,Yes,Merchant,No
Meron Kibrom,42,Female,"Kebele 17, Woreda 8, Jimma",Kiya,Yes,Yes,Employed,No
Lensa Eyob,62,Female,"Kebele 28, Woreda 6, Dire Dawa",Conventional Loan,Yes,Yes,Health Worker,Yes
Sossina Biruk,58,Female,"Kebele 12, Woreda 9, Debre Berhan",Kiya,No,Yes,Teacher,Yes
Habtamu Tesfu,31,Male,"Kebele 8, Woreda 3, Jimma",Conventional Loan,No,No,Student,No
Kidist Ermias,43,Male,"Kebele 22, Woreda 5, Arba Minch",Conventional Loan,Yes,Yes,Teacher,Yes
Negusu Wube,50,Male,"Kebele 8, Woreda 3, Jimma",Michu,No,Yes,Health Worker,Yes
Nebiyu Muluken,39,Male,"Kebele 23, Woreda 10, Nekemte",Conventional Loan,Yes,No,Teacher,No
Rediet Melaku,19,Female,"Kebele 24, Woreda 9, Adama",Kiya,No,Yes,Health Worker,No
Hewan Yared,40,Female,"Kebele 7, Woreda 9, Asosa",Kiya,Yes,Yes,Teacher,No
Yonas Dawit,38,Male,"Kebele 27, Woreda 2, Bahir Dar",Michu,No,No,Teacher,Yes
Alem Mitiku,51,Female,"Kebele 12, Woreda 8, Arba Minch",Michu,Yes,Yes,Merchant,Yes
Lulit Getnet,65,Female,"Kebele 24, Woreda 2, Harar",Kiya,No,No,Teacher,No
Yesuf Yohannes,37,Male,"Kebele 23, Woreda 4, Gondar",Conventional Loan,No,No,Farmer,No
Misgana Sisay,50,Male,"Kebele 26, Woreda 3, Arba Minch",Conventional Loan,Yes,Yes,Merchant,Yes
Eyob Tamirat,30,Male,"Kebele 27, Woreda 2, Jimma",Conventional Loan,Yes,No,Teacher,No
Meron Kassahun,47,Female,"Kebele 8, Woreda 8, Debre Berhan",Michu,Yes,No,Employed,No
Kebede Wondimu,46,Male,"Kebele 18, Woreda 9, Dessie",Michu,Yes,No,Farmer,Yes
Sintayehu Nebiyu,25,Male,"Kebele 9, Woreda 2, Bahir Dar",Michu,No,Yes,Farmer,Yes
Samuel Kidane,18,Male,"Kebele 1, Woreda 4, Dilla",Conventional Loan,No,Yes,Health Worker,Yes
Selam Demelash,47,Female,"Kebele 1, Woreda 1, Jijiga",Kiya,No,No,Student,Yes
Yared Yilma,65,Male,"Kebele 21, Woreda 9, Dessie",Conventional Loan,Yes,Yes,Employed,Yes
Kidist Binyam,20,Female,"Kebele 30, Woreda 10, Debre Berhan",Kiya,Yes,No,Teacher,No
Zemzem Birhanu,41,Female,"Kebele 11, Woreda 6, Debre Markos",Conventional Loan,No,No,Health Worker,Yes
Wubit Berhanu,28,Female,"Kebele 1, Woreda 9, Nekemte",Conventional Loan,Yes,Yes,Health Worker,No
Samuel Mekuria,45,Male,"Kebele 16, Woreda 7, Debre Markos",Michu,Yes,Yes,Farmer,No
Yonas Wolde,56,Male,"Kebele 29, Woreda 2, Asosa",Michu,Yes,No,Student,No
Samuel Nigussie,47,Male,"Kebele 15, Woreda 9, Asosa",Conventional Loan,Yes,Yes,Health Worker,Yes
Zebene Yesuf,26,Female,"Kebele 19, Woreda 2, Harar",Conventional Loan,Yes,Yes,Farmer,No
Meseret Amare,36,Female,"Kebele 12, Woreda 6, Gambela",Kiya,No,Yes,Farmer,Yes
Rediet Adamu,18,Female,"Kebele 27, Woreda 2, Bahir Dar",Kiya,Yes,No,Employed,Yes
Worku Endale,60,Male,"Kebele 20, Woreda 1, Jijiga",Michu,Yes,No,Farmer,No
Hirut Misgana,28,Female,"Kebele 17, Woreda 7, Jimma",Kiya,Yes,No,Farmer,Yes
Misgana Muluken,46,Male,"Kebele 20, Woreda 3, Debre Berhan",Conventional Loan,No,Yes,Teacher,Yes
Sintayehu Mamo,54,Male,"Kebele 29, Woreda 5, Harar",Michu,Yes,No,Student,No
Tesfaye Bekele,53,Male,"Kebele 17, Woreda 9, Hawassa",Michu,Yes,No,Student,No
Eden Wube,41,Female,"Kebele 23, Woreda 10, Hawassa",Michu,No,No,Farmer,Yes
Wolde Sisay,37,Male,"Kebele 20, Woreda 1, Jimma",Michu,Yes,No,Employed,Yes
Senait Mulugeta,57,Female,"Kebele 14, Woreda 3, Mekelle",Michu,Yes,Yes,Student,Yes
Chalachew Solomon,40,Male,"Kebele 4, Woreda 8, Jimma",Conventional Loan,Yes,No,Teacher,No
Misgana Bekele,34,Male,"Kebele 24, Woreda 10, Jijiga",Michu,No,Yes,Teacher,Yes
Yohannes Abraham,33,Male,"Kebele 1, Woreda 10, Sodo",Michu,Yes,No,Teacher,No
Hewan Endale,58,Female,"Kebele 2, Woreda 4, Debre Berhan",Michu,Yes,Yes,Employed,Yes
Adanech Mitiku,20,Female,"Kebele 2, Woreda 9, Mekelle",Conventional Loan,Yes,Yes,Employed,Yes
Birtukan Andargachew,60,Female,"Kebele 21, Woreda 9, Nekemte",Kiya,No,Yes,Farmer,Yes
Wubit Tesfu,42,Female,"Kebele 12, Woreda 9, Bahir Dar",Conventional Loan,No,No,Merchant,No
Hailemariam Solomon,57,Male,"Kebele 17, Woreda 7, Bahir Dar",Michu,No,Yes,Health Worker,No
Melaku Yonas,65,Male,"Kebele 15, Woreda 6, Hawassa",Conventional Loan,No,No,Health Worker,Yes
Dagnachew Leul,70,Male,"Kebele 24, Woreda 1, Gambela",Michu,Yes,No,Health Worker,No
Bekele Daniel,24,Male,"Kebele 16, Woreda 8, Arba Minch",Michu,Yes,No,Teacher,Yes
Tamirat Desalegn,25,Male,"Kebele 30, Woreda 9, Jijiga",Michu,Yes,Yes,Merchant,No
Abebech Habtamu,38,Female,"Kebele 5, Woreda 5, Sodo",Michu,Yes,No,Farmer,No
Aster Adamu,19,Female,"Kebele 22, Woreda 5, Arba Minch",Michu,Yes,Yes,Student,No
