Name,Withdrawal Amount (ETB),Withdrawal Successful
Hailu Birhanu,6436.77,Yes
Tadesse Gebru,7722.26,Yes
Dagnachew Tsegaye,1351.66,Yes
Andargachew Solomon,4782.04,Yes
Hana Gizachew,6919.64,Yes
Yeshi Mekuria,8334.24,Yes
Dawit Fekadu,8562.96,Yes
Kassaye Mesfin,9963.07,Yes
Wolde Mitiku,6500.69,Yes
Eden Kibrom,203.45,No
Lensa Andargachew,3968.2,Yes
Hana Fekadu,1186.12,Yes
Tinsae Getachew,8444.86,Yes
Samuel Leul,776.52,Yes
Naomi Girma,5059.18,No
Yemane Berhanu,7867.72,Yes
Birhanu Leul,9460.8,Yes
Merid Berhanu,3899.42,Yes
Wube Wube,5780.51,No
Hewan Muluken,2237.24,Yes
Nebiyu Habtamu,6702.8,No
Amel Eshetu,9501.81,Yes
Eyerusalem Kebede,9707.0,No
Nardos Mekonnen,575.55,Yes
Emebet Yemane,3800.41,No
Luwam Ermias,3852.8,Yes
Getahun Merid,4847.04,Yes
Milki Shiferaw,1598.56,No
Legesse Samuel,8980.22,Yes
Getachew Mengistu,9100.17,Yes
Alemnesh Habtemariam,671.39,Yes
Dagmawit Yared,1882.22,Yes
Selamawit Sisay,720.92,Yes
Zewditu Zeleke,9486.95,Yes
Gete Yemane,7982.67,Yes
Ayenalem Melaku,8402.49,Yes
Tebarek Mitiku,1798.21,Yes
Wengel Biruk,3468.01,Yes
Yonas Muluken,1804.39,Yes
Mitiku Abiyot,9499.86,Yes
Merid Wolde,8833.49,Yes
Zewdu Kidist,7094.87,Yes
Naomi Gizachew,8358.86,Yes
Zerihun Girma,8285.4,Yes
Melaku Merid,2468.45,Yes
Ruth Bekele,7618.04,Yes
Meseret Mulugeta,2835.11,Yes
Genet Zeleke,1332.35,No
Tamrat Moges,8577.26,Yes
Mekuria Tesfaye,6909.6,Yes
Mitiku Wolde,4059.42,Yes
Zinash Tadesse,2885.93,Yes
Naomi Redae,9079.23,Yes
Almaz Mesfin,4728.76,No
Negusu Demeke,1076.29,Yes
Rediet Desalegn,906.19,Yes
Tsegaye Hailemariam,6173.18,Yes
Rahel Henok,2914.49,Yes
Wengel Nebiyu,9009.18,Yes
Sintayehu Nebiyu,1048.22,Yes
Adamu Kassaye,1084.99,Yes
Ayisha Getachew,9880.36,Yes
Getahun Tsegaye,9113.98,Yes
Adanech Ermias,6376.22,Yes
Adamu Getachew,2847.38,Yes
Moges Habtemariam,7193.14,Yes
Gebeyehu Demelash,3330.58,Yes
Hailemariam Moges,3908.74,No
Fikirte Kebede,1464.29,Yes
Tsegaye Yohannes,5457.96,Yes
Atikilt Gebeyehu,4016.36,Yes
Nebiyu Eyob,3864.71,Yes
Marta Kebede,1709.03,Yes
Selam Tadese,2931.57,Yes
Meseret Asnake,5142.27,No
Shiferaw Yohannes,9520.45,Yes
Sisay Desalegn,4347.02,Yes
Kidane Dagnachew,1363.82,Yes
Misgana Melaku,3396.3,Yes
Hawi Sisay,1524.22,Yes
Nigussie Yesuf,5243.93,No
Kassahun Mitiku,6443.95,Yes
Sisay Mengistu,954.99,Yes
Solomon Endale,478.96,Yes
Getahun Kassaye,4703.73,No
Rediet Girma,1907.0,Yes
Solomon Kassaye,7419.71,Yes
Yeshi Zewdu,8803.84,No
Tadesse Yilma,1065.7,Yes
Sara Kebede,4785.39,No
Hirut Abiyot,5006.94,Yes
Moges Gebeyehu,4940.47,Yes
Eden Getnet,6009.05,Yes
Abraham Samuel,5528.91,No
Tigist Getachew,6104.06,Yes
Mekuria Tariku,6563.21,No
Hussen Teshome,6880.96,Yes
Ayenalem Tesfu,3989.68,Yes
Selamawit Solomon,243.43,No
Berhanu Gizachew,9162.36,No
Getnet Nebiyu,2055.61,No
Misgana Sintayehu,7684.52,Yes
Binyam Bekele,705.18,Yes
Yesuf Nigussie,9678.2,Yes
Samuel Kidist,847.49,Yes
Selamawit Biruk,2922.4,Yes
Gelila Zerihun,5991.27,Yes
Mamo Tamrat,8748.19,No
Tebarek Mesfin,8131.73,Yes
Senait Mesfin,462.24,Yes
Mamo Getnet,2331.62,Yes
Ayisha Abebe,4436.57,Yes
Biruk Zegeye,2539.45,Yes
Nardos Merid,8734.6,Yes
Henok Leul,432.72,Yes
Fekadu Biruk,5415.69,Yes
Yohannes Gizachew,8087.7,Yes
Dagmawit Daniel,5868.52,Yes
Mesfin Tamrat,1397.56,Yes
Eyerusalem Muluken,1770.17,No
Assefu Mesfin,9777.22,Yes
Gebeyehu Tesfaye,6875.32,Yes
Abiyot Solomon,144.04,Yes
Biruk Misgana,857.86,Yes
Hawi Getnet,1792.18,No
Ayisha Sintayehu,6854.11,Yes
Wube Tesfaye,6748.02,Yes
Shiferaw Nigussie,530.35,Yes
Eden Wube,7452.79,No
Yohannes Tesfaye,2628.68,No
Melaku Biruk,3484.18,Yes
Dinknesh Nebiyu,805.81,Yes
Ruth Desalegn,2884.35,Yes
Dawit Shiferaw,2267.46,Yes
Zebene Daniel,4381.51,Yes
Abebe Desta,1398.65,Yes
Abebe Yilma,9462.16,Yes
Lensa Mamo,9339.3,Yes
Ayisha Habtemariam,2694.09,Yes
Rahel Moges,8832.76,Yes
Dinknesh Mekonnen,4324.18,Yes
Wondimu Demeke,6421.3,Yes
Sifan Moges,5969.9,No
Yonas Eyob,434.96,Yes
Tena Habtamu,4975.45,Yes
Zewditu Negusu,7091.83,Yes
Tariku Nigussie,8236.99,Yes
Selam Kassaye,1133.55,Yes
Hiwot Samuel,6999.0,Yes
Gizachew Zeleke,1582.8,Yes
Tigist Muluken,196.95,Yes
Zebiba Birhanu,6699.06,Yes
Gennet Teshome,6553.95,Yes
Mekonnen Endale,6426.18,Yes
Yordanos Legesse,7859.19,Yes
Tena Sisay,2374.91,Yes
Samuel Gizachew,2085.77,Yes
Feven Tadese,8712.91,Yes
Solomon Mamo,4122.42,No
Abigail Haile,8327.08,No
Kibrom Yemane,8288.29,No
Zewditu Tamrat,3875.01,No
Helina Legesse,8920.06,Yes
Girma Sintayehu,6837.99,Yes
Nebiyu Muluken,8239.82,Yes
Hawi Tesfaye,2561.57,Yes
Tesfaye Eyob,7753.13,Yes
Selam Samuel,5693.77,Yes
Gete Eshetu,3565.83,Yes
Zinash Yohannes,7284.04,Yes
Marta Legesse,7292.88,Yes
Girma Legesse,1820.31,No
Wondimu Melaku,7483.05,Yes
Zinash Hailu,1167.91,Yes
Marta Wube,5686.54,No
Tariku Fekadu,850.09,No
Gelila Hussen,5826.54,No
Eyob Ermias,8832.87,Yes
Aster Tilahun,8057.89,No
Hawi Fekadu,9685.87,No
Firehiwot Mamo,7828.35,Yes
Moges Tilahun,8156.12,No
Gelila Mesfin,2053.54,Yes
Tamirat Merid,6233.71,Yes
Tamirat Tsegaye,1027.78,Yes
Birtukan Sintayehu,1849.8,No
Tadesse Birhanu,7930.72,No
Andargachew Yilma,8219.43,Yes
Yeshi Teshome,783.62,Yes
Teshome Yonas,130.66,No
Gete Yohannes,4507.08,Yes
Zemzem Kidane,1725.38,Yes
Tebarek Binyam,235.48,Yes
Legesse Nigussie,578.63,No
Tigist Muluken,6889.56,Yes
Mekonnen Andargachew,3981.47,Yes
Gete Yohannes,8906.31,No
Zewdu Ermias,3029.62,Yes
Desta Tadese,4253.8,Yes
Mekuria Geremew,6621.48,Yes
Luwam Dagnachew,2144.25,No
Andargachew Endale,6046.91,Yes
Tena Kassaye,8596.57,Yes
Fikirte Merid,2612.6,Yes
Marta Sintayehu,4832.2,No
Yeshi Demeke,6749.42,No
Bekele Wolde,736.5,Yes
Yohannes Mesfin,8376.25,Yes
Emebet Asnake,1751.66,Yes
Fekadu Wolde,2768.86,Yes
Tesfu Tamirat,803.92,Yes
Rahel Leul,1365.13,Yes
Endale Ermias,1682.83,Yes
Bisrat Melaku,483.85,No
Eyerusalem Wolde,7382.28,Yes
Eden Misgana,2992.69,Yes
Adamu Selamawit,7395.43,Yes
Hirut Eyob,9670.75,No
Mitiku Mitiku,8441.09,No
Mihret Selamawit,2571.71,Yes
Selam Wube,5389.69,Yes
Kassaye Samuel,760.93,Yes
Kassaye Abraham,2523.26,No
Selam Dawit,210.2,Yes
Sintayehu Moges,3523.67,No
Leul Sintayehu,2802.63,Yes
Ayenalem Endale,8120.17,No
Getnet Tadese,2575.82,Yes
Birhanu Worku,5628.43,No
Sifan Mamo,2446.88,Yes
Gebru Kebede,3492.2,Yes
Kidist Merid,7389.23,No
Mihret Solomon,6504.91,Yes
Selamawit Hailemariam,3987.73,Yes
Adamu Tadesse,9742.71,Yes
Adel Gebru,2712.24,Yes
Mitiku Mitiku,3502.03,No
Tigist Demelash,7447.72,Yes
Moges Tesfaye,931.14,Yes
Tsion Ermias,1613.46,No
Mamo Samuel,631.19,Yes
Girma Wondimu,1262.17,Yes
Tamirat Desalegn,6331.13,Yes
Yordanos Zegeye,5996.24,Yes
Abebe Solomon,262.23,Yes
Hussen Hailu,8101.5,Yes
Hailemariam Legesse,6926.81,Yes
Habtemariam Tamirat,3293.05,Yes
Zewdu Ermias,8163.1,Yes
Hana Mekuria,4247.99,Yes
Melaku Hussen,1772.34,Yes
Genet Zeleke,3380.65,Yes
Marta Tesfaye,8516.07,Yes
Leul Muluken,3583.01,Yes
Berhanu Hussen,2450.15,Yes
Kassahun Getnet,7043.53,Yes
Tamrat Abraham,3015.48,Yes
Endale Bereket,4977.42,Yes
Sara Gizachew,1744.68,Yes
Abebech Tesfu,2319.9,Yes
Getnet Henok,6407.99,Yes
Nega Melaku,537.66,No
Birtukan Mitiku,836.82,Yes
Zebene Tesfaye,5382.88,Yes
Demeke Yohannes,6457.74,No
Mekuria Demelash,8599.71,No
Misrak Mekuria,9090.97,Yes
Yemane Misgana,161.96,No
Zewditu Zeleke,6774.18,Yes
Abiyot Nega,8905.47,Yes
Samuel Desta,505.82,Yes
Zinash Gizachew,6992.68,Yes
Demeke Tsegaye,6149.5,Yes
Selamawit Nega,6281.38,Yes
Lensa Melaku,9150.09,Yes
Selamawit Leul,267.31,Yes
Yilma Habtemariam,3012.82,Yes
Tariku Andargachew,5922.48,No
Abigail Wondimu,4153.89,Yes
Tigist Mitiku,8339.79,Yes
Kibrom Eshetu,8471.63,No
Sifan Legesse,2987.4,No
Senait Birhanu,8538.18,Yes
Tigist Legesse,3142.37,Yes
Lensa Teshome,7278.94,Yes
Yonas Samuel,1678.45,No
Mekonnen Gebeyehu,4215.86,Yes
Adamu Muluken,4080.32,Yes
Sewit Abebe,5486.62,Yes
Wubit Hussen,9051.09,Yes
Fikirte Yohannes,6315.45,Yes
Negusu Hailu,5842.7,Yes
Mulu Fekadu,5318.91,Yes
Yeshi Kidane,5417.17,Yes
Eshetu Dagnachew,2930.86,Yes
Yordanos Chalachew,237.23,No
Samuel Tadese,7591.13,Yes
Wondimu Tamrat,3597.27,No
Gizachew Melaku,3077.99,No
Mengistu Samuel,493.43,Yes
Gennet Melaku,4674.8,Yes
Gennet Henok,3008.42,Yes
Hana Legesse,8195.45,Yes
Tsegaye Selamawit,9887.44,Yes
Hana Mengistu,7611.14,Yes
Amare Demelash,283.58,No
Muluken Negusu,9263.87,Yes
Bekele Merid,3448.91,No
Biruk Gebru,3005.04,Yes
Eshetu Yesuf,1221.81,Yes
Hayat Biruk,2880.81,No
Kassaye Kassaye,9623.4,No
Mihret Sisay,7967.37,Yes
Tigist Abiyot,1343.65,No
Abigail Redae,8302.88,Yes
Dawit Henok,2405.33,Yes
Kebede Kidane,3838.4,Yes
Tigist Mitiku,8056.64,Yes
Zemzem Legesse,365.77,Yes
Bethelhem Mitiku,784.13,Yes
Nega Zegeye,4315.51,Yes
Hailemariam Geremew,9928.0,Yes
Tamrat Demeke,3966.87,Yes
Tilahun Nigussie,4219.78,Yes
Tamrat Haile,8138.56,Yes
Meaza Bereket,5668.98,No
Bisrat Yared,6656.86,No
Kassaye Yilma,4936.93,Yes
Samuel Mulugeta,5783.65,Yes
Yonas Mengistu,2967.68,Yes
Binyam Ermias,7974.58,Yes
Wolde Gebru,2279.53,Yes
Tilahun Muluken,7287.36,Yes
Kassaye Habtamu,7033.0,Yes
Misgana Merid,7547.66,Yes
Bereket Desalegn,4370.67,No
Rahel Binyam,7173.48,Yes
Yordanos Gizachew,2720.08,No
Ermias Muluken,8248.24,No
Mekdes Yared,2931.1,Yes
Kassahun Mitiku,6133.47,Yes
Selam Tadese,9681.71,Yes
Abraham Mekuria,9714.64,No
Habtamu Mitiku,4346.99,Yes
Ayisha Samuel,433.13,Yes
Senait Leul,7270.91,Yes
Senait Eshetu,3946.21,Yes
Ayisha Haile,1088.48,Yes
Gizachew Yilma,7247.75,No
Fikirte Tsegaye,1484.96,No
Luwam Zerihun,9170.79,No
Adamu Mulugeta,6226.41,Yes
Nebiyu Chalachew,4445.0,Yes
Rediet Merid,1194.19,No
Kibrom Haile,501.18,No
Kassaye Tariku,9843.61,Yes
Lensa Selamawit,6310.68,Yes
Legesse Daniel,7699.71,Yes
Abigail Melaku,2737.76,Yes
Emebet Amare,2484.25,Yes
Hana Sisay,7150.96,Yes
Luwam Mengistu,1074.03,Yes
Selam Haile,7461.63,No
Yeshi Moges,1254.99,Yes
Hiwot Tesfaye,4925.37,No
Sewit Abraham,6040.25,Yes
Worku Nega,2598.46,Yes
Feven Nebiyu,5155.95,Yes
Selam Ermias,6803.82,Yes
Sewit Negusu,3585.05,Yes
Abebe Worku,6009.57,Yes
Yilma Birhanu,2838.87,Yes
Yared Birhanu,9232.3,No
Mulugeta Yemane,9431.48,Yes
Eshetu Amare,213.33,Yes
Tsegaye Kidane,5413.42,Yes
Ruth Tamirat,166.07,Yes
Mamo Mekuria,9435.99,Yes
Andargachew Yilma,3433.04,Yes
Adanech Zeleke,4365.51,Yes
Mitiku Negusu,5346.82,Yes
Yeshi Adamu,5088.03,Yes
Geremew Tesfaye,8225.79,Yes
Kidist Binyam,8647.09,No
Demeke Legesse,4589.32,Yes
Tsion Samuel,662.31,No
Mekdes Desta,3774.83,No
Yohannes Endale,5471.42,Yes
Tinsae Mitiku,8438.29,Yes
Hirut Solomon,5743.62,Yes
Negusu Merid,1549.05,Yes
Haile Teshome,6015.33,Yes
Abebech Worku,9851.79,Yes
Melaku Nebiyu,942.0,Yes
Sewit Demeke,8470.77,Yes
Eyerusalem Hailu,4887.58,Yes
Mihret Bereket,7966.75,Yes
Negusu Yemane,9977.46,Yes
Zinash Gebru,6063.19,Yes
Genet Sisay,9889.88,Yes
Tilahun Yonas,3087.96,Yes
Selam Desalegn,2939.5,Yes
Hailemariam Kebede,7792.63,Yes
Dagmawit Tadese,3196.81,Yes
Wubit Gizachew,4392.21,Yes
Demeke Yonas,4830.84,Yes
Nebiyu Solomon,3930.97,Yes
Zinash Gebru,6938.5,Yes
Andargachew Hussen,3279.14,Yes
Mengistu Melaku,9684.65,Yes
Kidane Wube,2926.09,Yes
Gelila Mitiku,791.77,Yes
Selamawit Yonas,7737.41,Yes
Tilahun Yared,1745.01,Yes
Hussen Kassahun,1373.98,Yes
Kebede Daniel,7680.92,Yes
Naomi Merid,3306.7,Yes
Getahun Yemane,3086.44,Yes
Yodit Tadese,8896.14,Yes
Sifan Gebru,233.9,No
Merid Kassahun,2434.93,Yes
Sara Yemane,7845.45,Yes
Kidist Nega,1056.71,Yes
Gebru Binyam,3714.48,Yes
Wengel Yonas,2731.93,Yes
Habtamu Nega,1584.8,Yes
Yeshi Nebiyu,7948.86,Yes
Wube Yared,9852.82,Yes
Tigist Abraham,7413.12,Yes
Yeshi Zerihun,9063.66,No
Mitiku Negusu,9905.09,Yes
Shiferaw Sisay,1207.78,No
Nardos Shiferaw,2657.18,Yes
Alem Nigussie,8053.6,No
Berhanu Hussen,6954.85,Yes
Tesfu Gebeyehu,8635.4,Yes
Adamu Adamu,5928.82,Yes
Meron Endale,9410.31,Yes
Misgana Gizachew,849.0,Yes
Wondimu Demeke,2634.71,Yes
Wolde Tilahun,8942.42,Yes
Haimanot Binyam,4595.55,No
Sossina Solomon,7714.18,Yes
Selam Mengistu,9476.33,Yes
Tsegaye Shiferaw,6173.22,Yes
Fozia Nebiyu,7033.37,Yes
Yohannes Solomon,5002.66,Yes
Adel Redae,8165.8,Yes
Banchi Asnake,6128.37,Yes
Getnet Tamrat,1336.31,Yes
Sossina Eshetu,2552.11,Yes
Yordanos Bereket,3242.0,Yes
Haimanot Birhanu,1763.55,Yes
Bisrat Getahun,826.41,Yes
Misrak Tsegaye,5786.55,Yes
Atikilt Hailu,7930.18,No
Melaku Geremew,5531.18,Yes
Hana Mekuria,2764.04,Yes
Adanech Leul,7979.11,Yes
Bereket Kibrom,9171.51,Yes
Fekadu Gizachew,4798.21,Yes
Lomi Binyam,3299.59,Yes
Tigist Getachew,322.7,Yes
Sossina Nigussie,6456.19,No
Feven Desalegn,4372.19,Yes
Yohannes Yemane,8827.8,Yes
Ayenalem Tsegaye,9779.95,No
Rahel Getachew,8322.94,No
Haimanot Binyam,2015.31,Yes
Tigist Hailu,5085.48,Yes
Bereket Gizachew,7489.3,Yes
Fekadu Henok,3644.4,No
Henok Zewdu,2238.27,Yes
Adel Worku,3124.0,Yes
Hiwot Yilma,8394.51,Yes
Dagnachew Shiferaw,4953.49,Yes
Tadesse Daniel,7295.99,Yes
Yonas Kassahun,7591.15,Yes
Worku Gebru,880.62,Yes
Sewit Hailu,6545.64,Yes
Kidist Tesfu,8305.07,No
Mengistu Daniel,7625.11,Yes
Senait Selamawit,3609.64,Yes
Yonas Mitiku,325.17,No
Hailu Birhanu,6258.43,Yes
Yohannes Desta,4688.16,Yes
Wube Sisay,2429.86,Yes
Ruth Abraham,1450.83,Yes
Tamirat Bereket,2820.99,Yes
Desta Hailemariam,645.97,Yes
Yohannes Habtemariam,4313.08,Yes
Alem Tariku,827.87,No
Yohannes Getnet,1781.69,Yes
Abraham Asnake,9387.32,Yes
Wolde Gebru,6216.22,Yes
Magi Mekuria,8001.48,Yes
Meaza Kidist,333.72,Yes
Lensa Melaku,8075.81,Yes
Abebech Selamawit,1923.6,No
Wondimu Yonas,5131.82,No
Feven Yohannes,4310.66,Yes
Mitiku Adamu,3984.19,Yes
Genet Biruk,4170.63,Yes
Gizachew Birhanu,5744.17,No
Hirut Fekadu,1254.77,Yes
Hana Samuel,346.78,Yes
Lensa Habtemariam,2890.45,No
Amel Redae,7745.65,Yes
Hana Selamawit,9635.72,No
Yohannes Dagnachew,7144.37,Yes
Eyerusalem Yonas,3078.32,Yes
Atikilt Bereket,5243.64,Yes
Nega Endale,4242.14,Yes
Kassahun Mulugeta,9272.84,Yes
Shiferaw Eshetu,3190.75,Yes
Hawi Kassahun,6394.59,Yes
Sifan Hussen,7473.18,Yes
Samuel Yonas,4339.44,Yes
Sifan Yonas,157.47,Yes
Melaku Tilahun,4186.02,Yes
Nega Abebe,8656.88,No
Mitiku Getachew,4951.41,No
Kassahun Bereket,2560.25,Yes
Dinknesh Eshetu,3246.66,Yes
Hayat Habtamu,2640.48,Yes
Nardos Asnake,3899.43,Yes
Helina Selamawit,9064.41,Yes
Ayantu Yohannes,1010.88,Yes
Nardos Mamo,3681.6,Yes
Muluken Mesfin,1361.3,Yes
Zeleke Shiferaw,2853.97,Yes
Feven Yohannes,4407.64,Yes
Legesse Negusu,4012.25,Yes
Gelila Misgana,2174.69,Yes
Nardos Getahun,9546.24,Yes
Almaz Gebru,4183.98,Yes
Zemzem Andargachew,2656.88,Yes
Selamawit Girma,7056.79,Yes
Sossina Kidane,941.83,Yes
Amare Mesfin,743.74,Yes
Zewdu Habtemariam,1103.64,No
Hewan Kidane,7918.24,Yes
Abiyot Tariku,1256.68,Yes
Samuel Getahun,294.39,Yes
Adel Dawit,9724.93,No
Abigail Mengistu,3522.9,Yes
Eden Hailemariam,166.7,Yes
Gelila Kibrom,3873.75,Yes
Milki Kassahun,3701.52,Yes
Melaku Geremew,498.71,Yes
Kibrom Kassahun,7643.04,Yes
Sewit Melaku,4511.72,Yes
Sewit Abiyot,3325.13,Yes
Selam Tadese,3559.51,Yes
Fikirte Biruk,6359.67,Yes
Helina Mekuria,3912.35,No
Bekele Ermias,7428.63,Yes
Meaza Teshome,2128.63,Yes
Abiyot Redae,631.19,Yes
Wengel Redae,3366.31,Yes
Zewdu Sisay,1891.38,Yes
Gete Abiyot,4641.05,Yes
Zerihun Kibrom,7876.34,Yes
Binyam Yonas,5494.14,Yes
Nardos Haile,6610.69,Yes
Kassaye Zeleke,2809.5,Yes
Abraham Wondimu,8475.67,Yes
Feven Negusu,5514.13,Yes
Haile Legesse,6448.14,Yes
Tadesse Yilma,8940.99,Yes
Habtemariam Muluken,988.29,Yes
Lomi Demeke,2954.62,Yes
Yared Nebiyu,9134.45,No
Wolde Habtamu,8850.7,Yes
Mulu Ermias,8982.25,No
Shiferaw Negusu,3346.2,Yes
Dawit Leul,8581.53,Yes
Andargachew Eyob,3442.22,Yes
Mamo Bekele,5888.1,Yes
Lulit Mitiku,4448.97,Yes
Hailu Hailu,5985.2,Yes
Kidane Bekele,2864.77,Yes
Eyerusalem Binyam,1961.61,Yes
Naomi Wondimu,9301.95,Yes
Kidist Selamawit,4070.46,Yes
Fekadu Yonas,8738.72,No
Berhanu Yilma,387.22,Yes
Rahel Leul,6121.42,Yes
Lulit Bereket,8800.58,No
Hewan Demeke,6649.41,Yes
Habtamu Mitiku,581.16,Yes
Tadese Gizachew,3183.95,Yes
Hussen Endale,2865.79,Yes
Helina Solomon,201.63,Yes
Hewan Kidane,3097.71,Yes
Tsion Getachew,9402.3,Yes
Sifan Negusu,706.81,No
Adanech Biruk,2067.05,Yes
Zerihun Eyob,8731.73,Yes
Mahlet Daniel,8801.12,No
Kidist Sintayehu,3171.84,Yes
Adamu Getnet,9022.11,Yes
Haimanot Girma,9555.68,Yes
Gete Abebe,9951.9,Yes
Zeleke Kebede,7385.24,Yes
Tadese Melaku,9419.85,No
Tsion Yohannes,3142.83,Yes
Mihret Demelash,1333.51,Yes
Shiferaw Eshetu,7298.35,Yes
Habtamu Chalachew,9225.35,Yes
Legesse Zegeye,4746.55,Yes
Melaku Sintayehu,7467.7,No
Almaz Tamrat,2636.39,Yes
Henok Hussen,6241.28,Yes
Amel Eshetu,9202.65,Yes
Sisay Zeleke,3606.46,Yes
Tamirat Biruk,7919.34,Yes
Ayantu Tadesse,8410.79,No
Selam Nebiyu,5587.92,No
Nardos Mitiku,481.39,Yes
Birhanu Redae,5633.5,No
Tebarek Zegeye,3309.63,Yes
Lomi Chalachew,4557.91,Yes
Gelila Geremew,3716.79,Yes
Habtamu Gizachew,3526.05,Yes
Ermias Desta,8299.93,Yes
Bisrat Wolde,6608.26,Yes
Adel Demelash,6890.6,No
Mengistu Misgana,8390.51,Yes
Sintayehu Nebiyu,4022.58,Yes
Hiwot Mekuria,6386.35,No
Bekele Berhanu,5642.81,Yes
Sifan Abraham,5930.27,Yes
Bereket Negusu,3151.95,Yes
Binyam Adamu,5471.82,Yes
Tariku Daniel,5326.05,Yes
Eyob Hailemariam,171.18,Yes
Lensa Hailemariam,7333.44,No
Ayenalem Habtemariam,3464.92,Yes
Almaz Selamawit,8015.32,Yes
Zinash Kebede,3506.8,Yes
Senait Abraham,6606.98,Yes
Kebede Kassahun,2831.94,Yes
Adel Getnet,9221.01,Yes
Muluken Asnake,1417.77,Yes
Ruth Gebru,6674.87,Yes
Lensa Andargachew,6356.76,Yes
Tena Abraham,6752.05,No
Berhanu Solomon,7793.84,Yes
Melaku Yohannes,163.7,Yes
Yohannes Habtemariam,3975.12,Yes
Yohannes Shiferaw,3895.13,Yes
Moges Yohannes,5739.1,Yes
Kidane Dawit,8806.65,Yes
Assefu Mengistu,8310.26,Yes
Tigist Getachew,9209.49,Yes
Zebiba Gebru,6264.6,Yes
Yeshi Gebru,6134.77,Yes
Gebru Leul,6743.04,Yes
Abigail Kidist,6023.96,Yes
Kidane Kibrom,4225.51,Yes
Mesfin Selamawit,8598.65,Yes
Desalegn Mitiku,6679.43,Yes
Redae Melaku,3751.62,Yes
Solomon Mitiku,7240.65,Yes
Girma Yilma,9759.56,No
Tamrat Redae,7822.88,Yes
Bereket Amare,5506.92,Yes
Nebiyu Muluken,5690.66,Yes
Ayisha Kibrom,365.0,No
Mekuria Geremew,6814.25,Yes
Firehiwot Abebe,3706.01,Yes
Zerihun Tamrat,1782.57,No
Tigist Kibrom,988.47,Yes
Fozia Kibrom,6214.81,Yes
Biruk Negusu,9802.56,Yes
Kebede Yared,2345.74,Yes
Meron Yonas,5150.01,Yes
Rahel Zewdu,8899.13,Yes
Leul Hailu,8824.99,Yes
Zebiba Dawit,6156.19,Yes
Eden Kassahun,3176.33,Yes
Hayat Biruk,2891.63,Yes
Mekdes Geremew,9328.4,Yes
Wube Teshome,8221.72,Yes
Rahel Biruk,1072.89,Yes
Zewdu Kassahun,9597.63,Yes
Legesse Tariku,400.28,Yes
Tamirat Yohannes,2104.7,Yes
Melaku Gebeyehu,2944.24,Yes
Hewan Yilma,3295.38,Yes
Biruk Bekele,8473.1,Yes
Marta Legesse,5552.7,No
Dagmawit Kassaye,8457.2,Yes
Alemnesh Tsegaye,3195.32,Yes
Wube Asnake,528.54,Yes
Demelash Demelash,519.39,Yes
Yewbdar Bereket,6761.8,Yes
Sara Andargachew,7576.17,Yes
Samuel Zeleke,1824.67,Yes
Almaz Tesfu,7155.68,Yes
Fekadu Wube,346.42,Yes
Redae Kassaye,1169.03,No
Sewit Demelash,3605.28,Yes
Endale Dawit,7915.35,Yes
Hailemariam Mekuria,2537.37,Yes
Kidane Selamawit,9499.01,Yes
Melaku Samuel,3538.89,Yes
Sara Habtamu,1288.73,Yes
Abebe Shiferaw,8578.27,Yes
Gennet Misgana,6007.34,Yes
Fozia Teshome,1334.35,Yes
Yonas Wolde,7229.22,No
Yeshi Gebru,7773.1,Yes
Bisrat Yohannes,7552.05,Yes
Bethelhem Mitiku,5670.54,Yes
Selamawit Wolde,2359.96,Yes
Eden Misgana,1599.4,Yes
Wengel Habtamu,7902.69,Yes
Tamrat Getnet,1259.68,Yes
Gennet Kassaye,996.89,Yes
Moges Tadesse,5857.35,No
Hirut Selamawit,2837.82,Yes
Dawit Redae,3660.03,Yes
Kibrom Haile,207.43,Yes
Hana Tadese,1489.52,Yes
Hirut Moges,5361.39,Yes
Almaz Gizachew,6119.95,Yes
Misgana Biruk,433.58,Yes
Mesfin Hussen,2382.75,No
Mekdes Tesfaye,2708.06,Yes
Dawit Tadesse,1378.73,Yes
Milki Worku,4147.65,Yes
Mekuria Samuel,8849.19,Yes
Lensa Sisay,6498.2,No
Amel Sisay,4903.08,Yes
Yilma Birhanu,3352.88,Yes
Tariku Birhanu,5097.88,Yes
Tigist Demelash,9593.85,Yes
Tilahun Mulugeta,6689.77,Yes
Desalegn Redae,7429.85,No
Gete Gebru,5601.66,Yes
Hirut Biruk,4403.83,No
Fekadu Zerihun,2021.13,Yes
Fikirte Yared,3788.41,Yes
Getnet Muluken,1849.97,Yes
Misrak Legesse,8665.51,Yes
Dagmawit Kidane,8323.32,Yes
Tsion Mamo,596.14,Yes
Sifan Getnet,9841.12,Yes
Rediet Yohannes,6624.89,Yes
Fikirte Yemane,456.28,Yes
Hussen Kassahun,3171.05,Yes
Sossina Gebeyehu,1017.14,Yes
Andargachew Getachew,678.95,No
Demelash Kassaye,7122.79,Yes
Magi Mekuria,2874.99,Yes
Yonas Mitiku,4052.38,Yes
Marta Kebede,9523.95,Yes
Ruth Berhanu,1003.57,Yes
Mihret Abraham,8010.59,No
Mitiku Mulugeta,9365.19,Yes
Bethelhem Negusu,2427.23,Yes
Andargachew Haile,1383.97,Yes
Hana Adamu,2737.23,Yes
Mahlet Daniel,1049.22,No
Lomi Gizachew,9502.94,Yes
